datetime,00060_from dcp_Maximum,00060_from dcp_Maximum_cd,site_no,00060_from dcp_Minimum,00060_from dcp_Minimum_cd,00060_Mean,00060_Mean_cd,00060_from dcp_Mean,00060_from dcp_Mean_cd
1979-10-01 00:00:00+00:00,,,07344210,,,1930.0,A,,
1979-10-02 00:00:00+00:00,,,07344210,,,1200.0,A,,
1979-10-03 00:00:00+00:00,,,07344210,,,1000.0,A,,
1979-10-04 00:00:00+00:00,,,07344210,,,1410.0,A,,
1979-10-05 00:00:00+00:00,,,07344210,,,2290.0,A,,
1979-10-06 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-07 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-08 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-09 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-10 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-11 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-12 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-13 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-14 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-15 00:00:00+00:00,,,07344210,,,2600.0,A,,
1979-10-16 00:00:00+00:00,,,07344210,,,1930.0,A,,
1979-10-17 00:00:00+00:00,,,07344210,,,1600.0,A,,
1979-10-18 00:00:00+00:00,,,07344210,,,1600.0,A,,
1979-10-19 00:00:00+00:00,,,07344210,,,1600.0,A,,
1979-10-20 00:00:00+00:00,,,07344210,,,1600.0,A,,
1979-10-21 00:00:00+00:00,,,07344210,,,1600.0,A,,
1979-10-22 00:00:00+00:00,,,07344210,,,1600.0,A,,
1979-10-23 00:00:00+00:00,,,07344210,,,1200.0,A,,
1979-10-24 00:00:00+00:00,,,07344210,,,1000.0,A,,
1979-10-25 00:00:00+00:00,,,07344210,,,1000.0,A,,
1979-10-26 00:00:00+00:00,,,07344210,,,1000.0,A,,
1979-10-27 00:00:00+00:00,,,07344210,,,1000.0,A,,
1979-10-28 00:00:00+00:00,,,07344210,,,1000.0,A,,
1979-10-29 00:00:00+00:00,,,07344210,,,1000.0,A,,
1979-10-30 00:00:00+00:00,,,07344210,,,1000.0,A,,
1979-10-31 00:00:00+00:00,,,07344210,,,1000.0,A,,
1980-10-01 00:00:00+00:00,,,07344210,,,88.0,A,,
1980-10-02 00:00:00+00:00,,,07344210,,,88.0,A,,
1980-10-03 00:00:00+00:00,,,07344210,,,165.0,A,,
1980-10-04 00:00:00+00:00,,,07344210,,,220.0,A,,
1980-10-05 00:00:00+00:00,,,07344210,,,220.0,A,,
1980-10-06 00:00:00+00:00,,,07344210,,,399.0,A,,
1980-10-07 00:00:00+00:00,,,07344210,,,958.0,A,,
1980-10-08 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-09 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-10 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-11 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-12 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-13 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-14 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-15 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-16 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-17 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-18 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-19 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-20 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-21 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-22 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-23 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-24 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-25 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-26 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-27 00:00:00+00:00,,,07344210,,,1230.0,A,,
1980-10-28 00:00:00+00:00,,,07344210,,,1390.0,A,,
1980-10-29 00:00:00+00:00,,,07344210,,,1580.0,A,,
1980-10-30 00:00:00+00:00,,,07344210,,,2070.0,A,,
1980-10-31 00:00:00+00:00,,,07344210,,,2360.0,A,,
1981-10-01 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-02 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-03 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-04 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-05 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-06 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-07 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-08 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-09 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-10 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-11 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-12 00:00:00+00:00,,,07344210,,,218.0,A,,
1981-10-13 00:00:00+00:00,,,07344210,,,382.0,A,,
1981-10-14 00:00:00+00:00,,,07344210,,,777.0,A,,
1981-10-15 00:00:00+00:00,,,07344210,,,1360.0,A,,
1981-10-16 00:00:00+00:00,,,07344210,,,2270.0,A,,
1981-10-17 00:00:00+00:00,,,07344210,,,3350.0,A,,
1981-10-18 00:00:00+00:00,,,07344210,,,5120.0,A,,
1981-10-19 00:00:00+00:00,,,07344210,,,6020.0,A,,
1981-10-20 00:00:00+00:00,,,07344210,,,6020.0,A,,
1981-10-21 00:00:00+00:00,,,07344210,,,6020.0,A,,
1981-10-22 00:00:00+00:00,,,07344210,,,6020.0,A,,
1981-10-23 00:00:00+00:00,,,07344210,,,6020.0,A,,
1981-10-24 00:00:00+00:00,,,07344210,,,6020.0,A,,
