datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2003-08-23 00:00:00+00:00,169.0,A,08041749,-523.0,A,-52.3,A
2003-08-24 00:00:00+00:00,226.0,A,08041749,-729.0,A,-60.6,A
2003-08-25 00:00:00+00:00,252.0,A,08041749,-726.0,A,-113.0,A
2003-08-26 00:00:00+00:00,168.0,A,08041749,-629.0,A,-135.0,A
2003-08-27 00:00:00+00:00,218.0,A,08041749,-468.0,A,-84.5,A
2003-08-28 00:00:00+00:00,252.0,A,08041749,-425.0,A,-64.9,A
2003-08-29 00:00:00+00:00,336.0,A,08041749,-511.0,A,-75.2,A
2003-08-30 00:00:00+00:00,169.0,A,08041749,-449.0,A,-128.0,A
2003-08-31 00:00:00+00:00,1320.0,A,08041749,-327.0,A,525.0,A
2003-09-01 00:00:00+00:00,4040.0,A,08041749,1060.0,A,2830.0,A
2003-09-02 00:00:00+00:00,3630.0,A,08041749,3080.0,A,3350.0,A
2003-09-03 00:00:00+00:00,3240.0,A,08041749,2400.0,A,2810.0,A
2003-09-04 00:00:00+00:00,2900.0,A,08041749,2330.0,A,2530.0,A
2003-09-05 00:00:00+00:00,2960.0,A,08041749,2150.0,A,2430.0,A
2003-09-06 00:00:00+00:00,2560.0,A,08041749,1830.0,A,2210.0,A
2003-09-07 00:00:00+00:00,2200.0,A,08041749,1520.0,A,1850.0,A
2003-09-08 00:00:00+00:00,1840.0,A,08041749,1340.0,A,1560.0,A
2003-09-09 00:00:00+00:00,1580.0,A,08041749,938.0,A,1270.0,A
2003-09-10 00:00:00+00:00,1240.0,A,08041749,496.0,A,896.0,A
2003-09-11 00:00:00+00:00,1270.0,A,08041749,262.0,A,705.0,A
2003-09-12 00:00:00+00:00,3190.0,A,08041749,1020.0,A,2230.0,A
2003-09-13 00:00:00+00:00,2930.0,A,08041749,1680.0,A,2340.0,A
2003-09-14 00:00:00+00:00,1890.0,A,08041749,728.0,A,1320.0,A
2003-09-15 00:00:00+00:00,1040.0,A,08041749,375.0,A,704.0,A
2003-09-16 00:00:00+00:00,789.0,A,08041749,211.0,A,525.0,A
2003-09-17 00:00:00+00:00,653.0,A,08041749,237.0,A,465.0,A
2003-09-18 00:00:00+00:00,593.0,A,08041749,180.0,A,413.0,A
2003-09-19 00:00:00+00:00,603.0,A,08041749,68.6,A,339.0,A
2003-09-20 00:00:00+00:00,409.0,A,08041749,-15.4,A,195.0,A
2003-09-21 00:00:00+00:00,811.0,A,08041749,-295.0,A,249.0,A
2003-09-22 00:00:00+00:00,913.0,A,08041749,433.0,A,690.0,A
2003-09-23 00:00:00+00:00,970.0,A,08041749,432.0,A,720.0,A
2003-09-24 00:00:00+00:00,773.0,A,08041749,205.0,A,492.0,A
2003-09-25 00:00:00+00:00,616.0,A,08041749,39.0,A,346.0,A
2003-09-26 00:00:00+00:00,537.0,A,08041749,-15.5,A,266.0,A
2003-09-27 00:00:00+00:00,450.0,A,08041749,-208.0,A,136.0,A
2003-09-28 00:00:00+00:00,383.0,A,08041749,-559.0,A,46.1,A
2003-09-29 00:00:00+00:00,178.0,A,08041749,-542.0,A,-9.06,A
2003-09-30 00:00:00+00:00,230.0,A,08041749,-463.0,A,-1.92,A
2003-10-01 00:00:00+00:00,225.0,A,08041749,-461.0,A,-59.9,A
2003-10-02 00:00:00+00:00,179.0,A,08041749,-535.0,A,-123.0,A
2003-10-03 00:00:00+00:00,95.1,A,08041749,-521.0,A,-107.0,A
2003-10-04 00:00:00+00:00,92.0,A,08041749,-469.0,A,-101.0,A
2003-10-05 00:00:00+00:00,197.0,A,08041749,-438.0,A,-61.4,A
2003-10-06 00:00:00+00:00,271.0,A,08041749,-454.0,A,-50.7,A
2003-10-07 00:00:00+00:00,308.0,A,08041749,-461.0,A,-57.8,A
2003-10-08 00:00:00+00:00,362.0,A,08041749,-449.0,A,-51.8,A
2003-10-09 00:00:00+00:00,6400.0,A,08041749,-419.0,A,1310.0,A
