datetime,00060_from dcp_Maximum,00060_from dcp_Maximum_cd,site_no,00060_from dcp_Minimum,00060_from dcp_Minimum_cd,00060_from dcp_Mean,00060_from dcp_Mean_cd
2015-03-14 00:00:00+00:00,390.0,A,08049300,310.0,A,355.0,A
2015-03-15 00:00:00+00:00,363.0,A,08049300,281.0,A,320.0,A
2015-03-16 00:00:00+00:00,334.0,A,08049300,270.0,A,304.0,A
2015-03-17 00:00:00+00:00,312.0,A,08049300,262.0,A,289.0,A
2015-03-18 00:00:00+00:00,317.0,A,08049300,252.0,A,287.0,A
2015-03-19 00:00:00+00:00,336.0,A,08049300,289.0,A,316.0,A
2015-03-20 00:00:00+00:00,527.0,A,08049300,260.0,A,327.0,A
2015-03-21 00:00:00+00:00,591.0,A,08049300,397.0,A,493.0,A
2015-03-22 00:00:00+00:00,513.0,A,08049300,340.0,A,415.0,A
2015-03-23 00:00:00+00:00,495.0,A,08049300,351.0,A,396.0,A
2015-03-24 00:00:00+00:00,358.0,A,08049300,289.0,A,321.0,A
2015-03-25 00:00:00+00:00,321.0,A,08049300,266.0,A,294.0,A
2015-03-26 00:00:00+00:00,317.0,A,08049300,235.0,A,287.0,A
2015-03-27 00:00:00+00:00,321.0,A,08049300,266.0,A,297.0,A
2015-03-28 00:00:00+00:00,287.0,A,08049300,230.0,A,264.0,A
2015-03-29 00:00:00+00:00,275.0,A,08049300,219.0,A,254.0,A
2015-03-30 00:00:00+00:00,273.0,A,08049300,214.0,A,249.0,A
2015-03-31 00:00:00+00:00,264.0,A,08049300,198.0,A,241.0,A
2015-04-01 00:00:00+00:00,264.0,A,08049300,216.0,A,244.0,A
2015-04-02 00:00:00+00:00,258.0,A,08049300,214.0,A,241.0,A
2015-04-03 00:00:00+00:00,258.0,A,08049300,210.0,A,240.0,A
2015-04-04 00:00:00+00:00,252.0,A,08049300,198.0,A,232.0,A
2015-04-05 00:00:00+00:00,1470.0,A,08049300,234.0,A,686.0,A
2015-04-06 00:00:00+00:00,1210.0,A,08049300,369.0,A,598.0,A
2015-04-07 00:00:00+00:00,376.0,A,08049300,285.0,A,321.0,A
2015-04-08 00:00:00+00:00,308.0,A,08049300,260.0,A,287.0,A
2015-04-09 00:00:00+00:00,340.0,A,08049300,237.0,A,278.0,A
