datetime,00060_Mean,00060_Mean_cd,site_no
1986-12-07 00:00:00+00:00,11.0,A,08053090
1986-12-12 00:00:00+00:00,46.0,A,08053090
1986-12-13 00:00:00+00:00,13.0,A,08053090
1986-12-14 00:00:00+00:00,19.0,A,08053090
1986-12-15 00:00:00+00:00,28.0,A,08053090
1986-12-16 00:00:00+00:00,11.0,A,08053090
1986-12-17 00:00:00+00:00,38.0,A,08053090
1986-12-18 00:00:00+00:00,104.0,A,08053090
1986-12-19 00:00:00+00:00,15.0,A,08053090
1986-12-20 00:00:00+00:00,10.0,A,08053090
1986-12-23 00:00:00+00:00,13.0,A,08053090
1987-01-03 00:00:00+00:00,11.0,A,08053090
1987-01-09 00:00:00+00:00,103.0,A,08053090
1987-01-10 00:00:00+00:00,12.0,A,08053090
1987-01-17 00:00:00+00:00,34.0,A,08053090
1987-01-18 00:00:00+00:00,50.0,A,08053090
1987-01-19 00:00:00+00:00,12.0,A,08053090
1987-01-20 00:00:00+00:00,10.0,A,08053090
1987-02-06 00:00:00+00:00,41.0,A,08053090
1987-02-15 00:00:00+00:00,18.0,A,08053090
1987-02-20 00:00:00+00:00,119.0,A,08053090
1987-02-21 00:00:00+00:00,16.0,A,08053090
1987-02-24 00:00:00+00:00,41.0,A,08053090
1987-02-25 00:00:00+00:00,14.0,A,08053090
1987-02-26 00:00:00+00:00,90.0,A,08053090
1987-02-27 00:00:00+00:00,31.0,A,08053090
1987-02-28 00:00:00+00:00,155.0,A,08053090
1987-03-01 00:00:00+00:00,21.0,A,08053090
1987-03-02 00:00:00+00:00,14.0,A,08053090
1987-03-03 00:00:00+00:00,11.0,A,08053090
1987-03-16 00:00:00+00:00,10.0,A,08053090
1987-03-17 00:00:00+00:00,130.0,A,08053090
1987-03-18 00:00:00+00:00,17.0,A,08053090
1987-03-19 00:00:00+00:00,13.0,A,08053090
1987-03-20 00:00:00+00:00,10.0,A,08053090
1987-03-23 00:00:00+00:00,10.0,A,08053090
1987-05-03 00:00:00+00:00,21.0,A,08053090
1987-05-04 00:00:00+00:00,134.0,A,08053090
1987-05-14 00:00:00+00:00,35.0,A,08053090
1987-05-15 00:00:00+00:00,17.0,A,08053090
1987-05-16 00:00:00+00:00,22.0,A,08053090
1987-05-17 00:00:00+00:00,23.0,A,08053090
1987-05-24 00:00:00+00:00,25.0,A,08053090
1987-05-28 00:00:00+00:00,163.0,A,08053090
1987-05-29 00:00:00+00:00,120.0,A,08053090
1987-06-03 00:00:00+00:00,17.0,A,08053090
1987-06-04 00:00:00+00:00,11.0,A,08053090
1987-06-09 00:00:00+00:00,130.0,A,08053090
1987-06-10 00:00:00+00:00,42.0,A,08053090
1987-06-11 00:00:00+00:00,14.0,A,08053090
1987-06-12 00:00:00+00:00,23.0,A,08053090
1987-06-13 00:00:00+00:00,23.0,A,08053090
1987-06-14 00:00:00+00:00,12.0,A,08053090
1987-06-15 00:00:00+00:00,24.0,A,08053090
1987-06-16 00:00:00+00:00,83.0,A,08053090
1987-07-02 00:00:00+00:00,24.0,A,08053090
1987-07-23 00:00:00+00:00,56.0,A,08053090
1987-08-27 00:00:00+00:00,32.0,A,08053090
1987-08-31 00:00:00+00:00,13.0,A,08053090
1987-09-08 00:00:00+00:00,17.0,A,08053090
1987-09-11 00:00:00+00:00,29.0,A,08053090
1987-09-13 00:00:00+00:00,73.0,A,08053090
1987-10-06 00:00:00+00:00,1.4,A,08053090
1987-10-07 00:00:00+00:00,1.3,A,08053090
1987-10-08 00:00:00+00:00,1.4,A,08053090
1987-10-09 00:00:00+00:00,1.3,A,08053090
1987-10-10 00:00:00+00:00,1.3,A,08053090
1987-10-11 00:00:00+00:00,1.4,A,08053090
1987-10-12 00:00:00+00:00,1.4,A,08053090
1987-10-13 00:00:00+00:00,1.6,A,08053090
1987-10-14 00:00:00+00:00,1.7,A,08053090
1987-10-15 00:00:00+00:00,1.4,A,08053090
1987-10-16 00:00:00+00:00,1.4,A,08053090
1987-10-17 00:00:00+00:00,1.5,A,08053090
1987-10-18 00:00:00+00:00,1.5,A,08053090
1987-10-19 00:00:00+00:00,2.1,A,08053090
1987-10-20 00:00:00+00:00,1.9,A,08053090
1987-10-21 00:00:00+00:00,1.7,A,08053090
1987-10-22 00:00:00+00:00,1.5,A,08053090
1987-10-23 00:00:00+00:00,2.3,A,08053090
1987-10-24 00:00:00+00:00,2.7,A,08053090
1987-10-25 00:00:00+00:00,1.7,A,08053090
1987-10-26 00:00:00+00:00,1.7,A,08053090
1987-10-27 00:00:00+00:00,1.5,A,08053090
1987-10-28 00:00:00+00:00,1.5,A,08053090
1987-10-29 00:00:00+00:00,1.5,A,08053090
1987-10-30 00:00:00+00:00,2.0,A,08053090
1987-10-31 00:00:00+00:00,1.6,A,08053090
1987-11-01 00:00:00+00:00,1.5,A,08053090
