datetime,00060_from dcp_Mean,00060_from dcp_Mean_cd,site_no
1970-01-01 00:00:00+00:00,119.0,A,08057300
1970-01-02 00:00:00+00:00,109.0,A,08057300
1970-01-03 00:00:00+00:00,101.0,A,08057300
1970-01-04 00:00:00+00:00,94.0,A,08057300
1970-01-05 00:00:00+00:00,89.0,A,08057300
1970-01-06 00:00:00+00:00,96.0,A,08057300
1970-01-07 00:00:00+00:00,92.0,A,08057300
1970-01-08 00:00:00+00:00,57.0,A,08057300
1970-01-09 00:00:00+00:00,80.0,A,08057300
1970-01-10 00:00:00+00:00,73.0,A,08057300
1970-01-11 00:00:00+00:00,68.0,A,08057300
1970-01-12 00:00:00+00:00,64.0,A,08057300
1970-01-13 00:00:00+00:00,61.0,A,08057300
1970-01-14 00:00:00+00:00,57.0,A,08057300
1970-01-15 00:00:00+00:00,54.0,A,08057300
1970-01-16 00:00:00+00:00,50.0,A,08057300
1970-01-17 00:00:00+00:00,48.0,A,08057300
1970-01-18 00:00:00+00:00,42.0,A,08057300
1970-01-19 00:00:00+00:00,40.0,A,08057300
1970-01-20 00:00:00+00:00,39.0,A,08057300
1970-01-21 00:00:00+00:00,35.0,A,08057300
1970-01-22 00:00:00+00:00,34.0,A,08057300
1970-01-23 00:00:00+00:00,33.0,A,08057300
1970-01-24 00:00:00+00:00,32.0,A,08057300
1970-01-25 00:00:00+00:00,30.0,A,08057300
1970-01-26 00:00:00+00:00,30.0,A,08057300
1970-01-27 00:00:00+00:00,29.0,A,08057300
1970-01-28 00:00:00+00:00,28.0,A,08057300
1970-01-29 00:00:00+00:00,24.0,A,08057300
1970-01-30 00:00:00+00:00,26.0,A,08057300
1970-01-31 00:00:00+00:00,24.0,A,08057300
1970-02-01 00:00:00+00:00,93.0,A,08057300
1970-02-02 00:00:00+00:00,142.0,A,08057300
1970-02-03 00:00:00+00:00,137.0,A,08057300
1970-02-04 00:00:00+00:00,128.0,A,08057300
1970-02-05 00:00:00+00:00,122.0,A,08057300
1970-02-06 00:00:00+00:00,130.0,A,08057300
1970-02-07 00:00:00+00:00,145.0,A,08057300
1970-02-08 00:00:00+00:00,138.0,A,08057300
1970-02-09 00:00:00+00:00,128.0,A,08057300
1970-02-10 00:00:00+00:00,122.0,A,08057300
1970-02-11 00:00:00+00:00,114.0,A,08057300
1970-02-12 00:00:00+00:00,105.0,A,08057300
1970-02-13 00:00:00+00:00,99.0,A,08057300
1970-02-14 00:00:00+00:00,93.0,A,08057300
1970-02-15 00:00:00+00:00,104.0,A,08057300
1970-02-16 00:00:00+00:00,116.0,A,08057300
1970-02-17 00:00:00+00:00,100.0,A,08057300
1970-02-18 00:00:00+00:00,43.0,A,08057300
1970-02-19 00:00:00+00:00,18.0,A,08057300
1970-02-20 00:00:00+00:00,18.0,A,08057300
1970-02-21 00:00:00+00:00,66.0,A,08057300
1970-02-22 00:00:00+00:00,114.0,A,08057300
1970-02-23 00:00:00+00:00,113.0,A,08057300
1970-02-24 00:00:00+00:00,346.0,A,08057300
1970-02-25 00:00:00+00:00,877.0,A,08057300
1970-02-26 00:00:00+00:00,240.0,A,08057300
1970-02-27 00:00:00+00:00,143.0,A,08057300
1970-02-28 00:00:00+00:00,506.0,A,08057300
1970-03-01 00:00:00+00:00,276.0,A,08057300
1970-03-02 00:00:00+00:00,195.0,A,08057300
1970-03-03 00:00:00+00:00,712.0,A,08057300
1970-03-04 00:00:00+00:00,240.0,A,08057300
1970-03-05 00:00:00+00:00,154.0,A,08057300
1970-03-06 00:00:00+00:00,151.0,A,08057300
1970-03-07 00:00:00+00:00,157.0,A,08057300
1970-03-08 00:00:00+00:00,150.0,A,08057300
1970-03-09 00:00:00+00:00,141.0,A,08057300
1970-03-10 00:00:00+00:00,131.0,A,08057300
1970-03-11 00:00:00+00:00,138.0,A,08057300
1970-03-12 00:00:00+00:00,143.0,A,08057300
1970-03-13 00:00:00+00:00,138.0,A,08057300
1970-03-14 00:00:00+00:00,130.0,A,08057300
1970-03-15 00:00:00+00:00,124.0,A,08057300
1970-03-16 00:00:00+00:00,122.0,A,08057300
1970-03-17 00:00:00+00:00,800.0,A,08057300
1970-03-18 00:00:00+00:00,294.0,A,08057300
1970-03-19 00:00:00+00:00,181.0,A,08057300
1970-03-20 00:00:00+00:00,184.0,A,08057300
