datetime,00060_Minimum,00060_Minimum_cd,site_no,00060_Mean,00060_Mean_cd
2017-09-30 00:00:00+00:00,1.35,A,08061480,1.64,A
2017-10-01 00:00:00+00:00,0.9,A,08061480,1.18,A
2017-10-02 00:00:00+00:00,0.69,A,08061480,0.94,A
2017-10-03 00:00:00+00:00,0.52,A,08061480,1.14,A
2017-10-04 00:00:00+00:00,1.31,A,08061480,1.97,A
2017-10-05 00:00:00+00:00,0.86,A,08061480,1.18,A
2017-10-06 00:00:00+00:00,0.67,A,08061480,0.88,A
2017-10-07 00:00:00+00:00,0.5,A,08061480,0.75,A
2017-10-08 00:00:00+00:00,0.35,A,08061480,0.77,A
2017-10-09 00:00:00+00:00,0.49,A,08061480,0.86,A
2017-10-10 00:00:00+00:00,0.64,A,08061480,1.39,A
2017-10-11 00:00:00+00:00,0.34,A,08061480,0.52,A
2017-10-12 00:00:00+00:00,0.34,A,08061480,0.48,A
2017-10-13 00:00:00+00:00,0.34,A,08061480,0.76,A
2017-10-14 00:00:00+00:00,0.35,A,08061480,0.74,A
2017-10-15 00:00:00+00:00,0.35,A,08061480,0.75,A
2017-10-16 00:00:00+00:00,0.23,A,08061480,0.8,A
2017-10-17 00:00:00+00:00,0.24,A,08061480,0.75,A
2017-10-18 00:00:00+00:00,0.35,A,08061480,0.78,A
2017-10-19 00:00:00+00:00,0.36,A,08061480,0.73,A
2017-10-20 00:00:00+00:00,0.36,A,08061480,0.84,A
2017-10-21 00:00:00+00:00,0.36,A,08061480,0.9,A
2017-10-22 00:00:00+00:00,1.31,A,08061480,13.5,A
2017-10-23 00:00:00+00:00,2.04,A,08061480,3.21,A
2017-10-24 00:00:00+00:00,1.75,A,08061480,2.32,A
2017-10-25 00:00:00+00:00,1.32,A,08061480,2.03,A
2017-10-26 00:00:00+00:00,1.32,A,08061480,1.94,A
2017-10-27 00:00:00+00:00,0.88,A,08061480,1.45,A
2017-10-28 00:00:00+00:00,0.52,A,08061480,1.17,A
2017-10-29 00:00:00+00:00,0.52,A,08061480,1.42,A
2017-10-30 00:00:00+00:00,0.53,A,08061480,1.14,A
2017-10-31 00:00:00+00:00,0.7,A,08061480,1.29,A
2017-11-01 00:00:00+00:00,0.53,A,08061480,1.47,A
2017-11-02 00:00:00+00:00,0.7,A,08061480,1.5,A
2017-11-03 00:00:00+00:00,0.9,A,08061480,1.56,A
2017-11-04 00:00:00+00:00,0.71,A,08061480,1.97,A
2017-11-05 00:00:00+00:00,0.71,A,08061480,2.12,A
2017-11-06 00:00:00+00:00,0.91,A,08061480,2.02,A
2017-11-07 00:00:00+00:00,0.72,A,08061480,1.53,A
2017-11-08 00:00:00+00:00,0.4,A,08061480,6.36,A
2017-11-09 00:00:00+00:00,1.81,A,08061480,2.14,A
2017-11-10 00:00:00+00:00,1.15,A,08061480,1.56,A
2017-11-11 00:00:00+00:00,0.93,A,08061480,1.82,A
2017-11-12 00:00:00+00:00,0.93,A,08061480,2.07,A
2017-11-13 00:00:00+00:00,0.94,A,08061480,2.05,A
2017-11-14 00:00:00+00:00,1.17,A,08061480,2.17,A
