datetime,00060_2_Mean,00060_2_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1970-01-01 00:00:00+00:00,1.6,A,08086500,,
1970-01-02 00:00:00+00:00,0.73,A,08086500,,
1970-01-03 00:00:00+00:00,0.32,A,08086500,,
1970-01-04 00:00:00+00:00,0.21,A,08086500,,
1970-01-05 00:00:00+00:00,0.17,A,08086500,,
1970-01-06 00:00:00+00:00,0.1,A,08086500,,
1970-01-07 00:00:00+00:00,0.08,A,08086500,,
1970-01-08 00:00:00+00:00,0.1,A,08086500,,
1970-01-09 00:00:00+00:00,0.1,A,08086500,,
1970-01-10 00:00:00+00:00,0.13,A,08086500,,
1970-01-11 00:00:00+00:00,0.17,A,08086500,,
1970-01-12 00:00:00+00:00,0.13,A,08086500,,
1970-01-13 00:00:00+00:00,0.1,A,08086500,,
1970-01-14 00:00:00+00:00,0.1,A,08086500,,
1970-01-15 00:00:00+00:00,0.13,A,08086500,,
1970-01-16 00:00:00+00:00,0.17,A,08086500,,
1970-01-17 00:00:00+00:00,0.13,A,08086500,,
1970-01-18 00:00:00+00:00,0.13,A,08086500,,
1970-01-19 00:00:00+00:00,0.13,A,08086500,,
1970-01-20 00:00:00+00:00,0.17,A,08086500,,
1970-01-21 00:00:00+00:00,0.1,A,08086500,,
1970-01-22 00:00:00+00:00,0.1,A,08086500,,
1970-01-23 00:00:00+00:00,0.1,A,08086500,,
1970-01-24 00:00:00+00:00,0.08,A,08086500,,
1970-01-25 00:00:00+00:00,0.08,A,08086500,,
1970-01-26 00:00:00+00:00,0.08,A,08086500,,
1970-01-27 00:00:00+00:00,0.06,A,08086500,,
1970-01-28 00:00:00+00:00,0.08,A,08086500,,
1970-01-29 00:00:00+00:00,0.08,A,08086500,,
1970-01-30 00:00:00+00:00,0.06,A,08086500,,
1970-01-31 00:00:00+00:00,0.06,A,08086500,,
1970-02-01 00:00:00+00:00,0.39,A,08086500,,
1970-02-02 00:00:00+00:00,0.39,A,08086500,,
1970-02-03 00:00:00+00:00,0.21,A,08086500,,
1970-02-04 00:00:00+00:00,0.17,A,08086500,,
1970-02-05 00:00:00+00:00,0.26,A,08086500,,
1970-02-06 00:00:00+00:00,0.39,A,08086500,,
1970-02-07 00:00:00+00:00,0.32,A,08086500,,
1970-02-08 00:00:00+00:00,0.39,A,08086500,,
1970-02-09 00:00:00+00:00,0.32,A,08086500,,
1970-02-10 00:00:00+00:00,0.21,A,08086500,,
1970-02-11 00:00:00+00:00,0.17,A,08086500,,
1970-02-12 00:00:00+00:00,0.17,A,08086500,,
1970-02-13 00:00:00+00:00,0.13,A,08086500,,
1970-02-14 00:00:00+00:00,0.13,A,08086500,,
1970-02-15 00:00:00+00:00,0.26,A,08086500,,
1970-02-16 00:00:00+00:00,0.17,A,08086500,,
1970-02-17 00:00:00+00:00,0.13,A,08086500,,
1970-02-18 00:00:00+00:00,0.1,A,08086500,,
1970-02-19 00:00:00+00:00,0.1,A,08086500,,
1970-02-20 00:00:00+00:00,0.1,A,08086500,,
1970-02-21 00:00:00+00:00,0.1,A,08086500,,
1970-02-22 00:00:00+00:00,0.21,A,08086500,,
1970-02-23 00:00:00+00:00,0.47,A,08086500,,
1970-02-24 00:00:00+00:00,2.5,A,08086500,,
1970-02-25 00:00:00+00:00,7.4,A,08086500,,
1970-02-26 00:00:00+00:00,2.4,A,08086500,,
1970-02-27 00:00:00+00:00,0.93,A,08086500,,
1970-02-28 00:00:00+00:00,0.64,A,08086500,,
1970-03-01 00:00:00+00:00,0.32,A,08086500,,
1970-03-02 00:00:00+00:00,0.26,A,08086500,,
1970-03-03 00:00:00+00:00,0.47,A,08086500,,
1970-03-04 00:00:00+00:00,0.26,A,08086500,,
1970-03-05 00:00:00+00:00,0.13,A,08086500,,
1970-03-06 00:00:00+00:00,0.44,A,08086500,,
1970-03-07 00:00:00+00:00,2.6,A,08086500,,
1970-03-08 00:00:00+00:00,1.4,A,08086500,,
1970-03-09 00:00:00+00:00,0.64,A,08086500,,
1970-03-10 00:00:00+00:00,0.39,A,08086500,,
1970-03-11 00:00:00+00:00,0.26,A,08086500,,
1970-03-12 00:00:00+00:00,0.26,A,08086500,,
1970-03-13 00:00:00+00:00,0.13,A,08086500,,
1970-03-14 00:00:00+00:00,0.1,A,08086500,,
1970-03-15 00:00:00+00:00,0.08,A,08086500,,
1970-03-16 00:00:00+00:00,0.08,A,08086500,,
1970-03-17 00:00:00+00:00,0.1,A,08086500,,
1970-03-18 00:00:00+00:00,0.1,A,08086500,,
1970-03-19 00:00:00+00:00,15.0,A,08086500,,
1970-03-20 00:00:00+00:00,76.0,A,08086500,,
1970-03-21 00:00:00+00:00,75.0,A,08086500,,
1970-03-22 00:00:00+00:00,76.0,A,08086500,,
1970-03-23 00:00:00+00:00,75.0,A,08086500,,
1970-03-24 00:00:00+00:00,177.0,A,08086500,,
1970-03-25 00:00:00+00:00,249.0,A,08086500,,
1970-03-26 00:00:00+00:00,242.0,A,08086500,,
1970-03-27 00:00:00+00:00,242.0,A,08086500,,
1970-03-28 00:00:00+00:00,235.0,A,08086500,,
1970-03-29 00:00:00+00:00,228.0,A,08086500,,
1970-03-30 00:00:00+00:00,228.0,A,08086500,,
1970-03-31 00:00:00+00:00,221.0,A,08086500,,
1970-04-01 00:00:00+00:00,221.0,A,08086500,,
1970-04-02 00:00:00+00:00,150.0,A,08086500,,
1970-04-03 00:00:00+00:00,123.0,A,08086500,,
