datetime,00060_radar sensor_Maximum,00060_radar sensor_Maximum_cd,site_no,00060_radar sensor_Minimum,00060_radar sensor_Minimum_cd,00060_radar sensor_Mean,00060_radar sensor_Mean_cd
1970-01-01 00:00:00+00:00,,,08092000,,,6.5,A
1970-01-02 00:00:00+00:00,,,08092000,,,6.0,A
1970-01-03 00:00:00+00:00,,,08092000,,,6.1,A
1970-01-04 00:00:00+00:00,,,08092000,,,7.2,A
1970-01-05 00:00:00+00:00,,,08092000,,,8.0,A
1970-01-06 00:00:00+00:00,,,08092000,,,19.0,A
1970-01-07 00:00:00+00:00,,,08092000,,,12.0,A
1970-01-08 00:00:00+00:00,,,08092000,,,7.6,A
1970-01-09 00:00:00+00:00,,,08092000,,,6.7,A
1970-01-10 00:00:00+00:00,,,08092000,,,6.2,A
1970-01-11 00:00:00+00:00,,,08092000,,,6.2,A
1970-01-12 00:00:00+00:00,,,08092000,,,6.0,A
1970-01-13 00:00:00+00:00,,,08092000,,,5.7,A
1970-01-14 00:00:00+00:00,,,08092000,,,5.8,A
1970-01-15 00:00:00+00:00,,,08092000,,,5.5,A
1970-01-16 00:00:00+00:00,,,08092000,,,5.5,A
1970-01-17 00:00:00+00:00,,,08092000,,,5.5,A
1970-01-18 00:00:00+00:00,,,08092000,,,5.2,A
1970-01-19 00:00:00+00:00,,,08092000,,,4.9,A
1970-01-20 00:00:00+00:00,,,08092000,,,4.8,A
1970-01-21 00:00:00+00:00,,,08092000,,,4.8,A
1970-01-22 00:00:00+00:00,,,08092000,,,4.9,A
1970-01-23 00:00:00+00:00,,,08092000,,,4.9,A
1970-01-24 00:00:00+00:00,,,08092000,,,5.0,A
1970-01-25 00:00:00+00:00,,,08092000,,,5.0,A
1970-01-26 00:00:00+00:00,,,08092000,,,4.8,A
1970-01-27 00:00:00+00:00,,,08092000,,,4.7,A
1970-01-28 00:00:00+00:00,,,08092000,,,5.0,A
1970-01-29 00:00:00+00:00,,,08092000,,,4.7,A
1970-01-30 00:00:00+00:00,,,08092000,,,4.5,A
1970-01-31 00:00:00+00:00,,,08092000,,,4.2,A
1970-02-01 00:00:00+00:00,,,08092000,,,20.0,A
1970-02-02 00:00:00+00:00,,,08092000,,,33.0,A
1970-02-03 00:00:00+00:00,,,08092000,,,11.0,A
1970-02-04 00:00:00+00:00,,,08092000,,,8.6,A
1970-02-05 00:00:00+00:00,,,08092000,,,7.8,A
1970-02-06 00:00:00+00:00,,,08092000,,,7.8,A
1970-02-07 00:00:00+00:00,,,08092000,,,7.8,A
1970-02-08 00:00:00+00:00,,,08092000,,,7.5,A
1970-02-09 00:00:00+00:00,,,08092000,,,6.7,A
1970-02-10 00:00:00+00:00,,,08092000,,,6.0,A
1970-02-11 00:00:00+00:00,,,08092000,,,6.0,A
1970-02-12 00:00:00+00:00,,,08092000,,,6.0,A
1970-02-13 00:00:00+00:00,,,08092000,,,5.9,A
1970-02-14 00:00:00+00:00,,,08092000,,,5.8,A
1970-02-15 00:00:00+00:00,,,08092000,,,7.9,A
1970-02-16 00:00:00+00:00,,,08092000,,,12.0,A
1970-02-17 00:00:00+00:00,,,08092000,,,9.2,A
