datetime,00060_left vel meter_Maximum,00060_left vel meter_Maximum_cd,site_no,00060_right vel meter_Maximum,00060_right vel meter_Maximum_cd,00060_Maximum,00060_Maximum_cd,00060_left vel meter_Minimum,00060_left vel meter_Minimum_cd,00060_right vel meter_Minimum,00060_right vel meter_Minimum_cd,00060_Minimum,00060_Minimum_cd,00060_left vel meter_Mean,00060_left vel meter_Mean_cd,00060_right vel meter_Mean,00060_right vel meter_Mean_cd,00060_Mean,00060_Mean_cd
2016-05-06 00:00:00+00:00,68.3,A,08188590,76.6,A,71.5,A,60.6,A,68.9,A,65.6,A,64.7,A,72.6,A,68.7,A
2016-05-07 00:00:00+00:00,68.6,A,08188590,77.6,A,72.5,A,61.6,A,70.2,A,67.5,A,65.4,A,73.9,A,69.7,A
2016-05-08 00:00:00+00:00,68.0,A,08188590,78.9,A,72.5,A,61.6,A,70.4,A,67.1,A,65.2,A,74.3,A,69.7,A
2016-05-09 00:00:00+00:00,68.0,A,08188590,78.2,A,71.8,A,62.3,A,69.5,A,66.8,A,65.1,A,74.0,A,69.5,A
2016-05-10 00:00:00+00:00,68.0,A,08188590,78.9,A,72.5,A,61.1,A,70.2,A,67.2,A,64.7,A,74.7,A,69.7,A
2016-05-11 00:00:00+00:00,68.4,A,08188590,79.2,A,72.2,A,59.8,A,70.9,A,67.5,A,64.6,A,74.7,A,69.7,A
2016-05-12 00:00:00+00:00,103.0,A,08188590,97.8,A,98.9,A,60.5,A,70.2,A,66.9,A,81.8,A,84.0,A,82.9,A
2016-05-13 00:00:00+00:00,103.0,A,08188590,96.4,A,99.1,A,95.5,A,88.6,A,93.6,A,98.8,A,92.2,A,95.8,A
2016-05-14 00:00:00+00:00,102.0,A,08188590,95.3,A,97.8,A,94.5,A,86.9,A,91.9,A,98.4,A,91.7,A,95.3,A
2016-05-15 00:00:00+00:00,103.0,A,08188590,97.5,A,98.9,A,93.2,A,86.2,A,91.6,A,98.3,A,92.2,A,95.5,A
2016-05-16 00:00:00+00:00,103.0,A,08188590,96.6,A,99.2,A,43.8,A,42.1,A,44.8,A,63.5,A,60.7,A,62.3,A
2016-05-17 00:00:00+00:00,49.9,A,08188590,49.8,A,49.4,A,22.3,A,22.8,A,22.6,A,31.7,A,32.3,A,32.1,A
2016-05-18 00:00:00+00:00,28.9,A,08188590,32.4,A,29.6,A,22.9,A,23.4,A,24.7,A,26.8,A,28.2,A,27.5,A
2016-05-19 00:00:00+00:00,28.7,A,08188590,31.1,A,28.8,A,23.4,A,23.4,A,24.9,A,26.2,A,27.9,A,27.0,A
2016-05-20 00:00:00+00:00,28.3,A,08188590,30.2,A,28.4,A,21.5,A,23.9,A,23.6,A,25.4,A,27.5,A,26.5,A
2016-05-21 00:00:00+00:00,28.9,A,08188590,30.8,A,29.6,A,24.4,A,24.0,A,25.0,A,26.5,A,28.1,A,27.3,A
2016-05-22 00:00:00+00:00,28.9,A,08188590,31.4,A,29.6,A,23.9,A,24.0,A,25.2,A,26.7,A,27.9,A,27.3,A
2016-05-23 00:00:00+00:00,30.4,A,08188590,31.9,A,30.6,A,24.0,A,26.1,A,25.2,A,26.7,A,28.5,A,27.6,A
2016-05-24 00:00:00+00:00,29.5,A,08188590,32.6,A,30.2,A,24.5,A,24.1,A,24.3,A,27.1,A,28.7,A,27.9,A
2016-05-25 00:00:00+00:00,53.6,A,08188590,53.1,A,53.1,A,25.0,A,26.7,A,26.4,A,44.1,A,44.4,A,44.3,A
2016-05-26 00:00:00+00:00,53.0,A,08188590,52.7,A,52.4,A,46.3,A,46.1,A,47.9,A,50.2,A,49.8,A,50.0,A
2016-05-27 00:00:00+00:00,82.9,A,08188590,75.5,A,78.8,A,45.2,A,47.1,A,47.4,A,64.8,A,60.7,A,62.9,A
2016-05-28 00:00:00+00:00,84.2,A,08188590,73.6,A,78.5,A,45.6,A,42.7,A,46.1,A,58.6,A,55.1,A,57.1,A
2016-05-29 00:00:00+00:00,52.6,A,08188590,51.5,A,50.5,A,45.4,A,44.4,A,46.2,A,48.4,A,48.0,A,48.4,A
2016-05-30 00:00:00+00:00,81.7,A,08188590,72.4,A,77.3,A,43.3,A,44.4,A,46.2,A,61.2,A,57.1,A,59.4,A
2016-05-31 00:00:00+00:00,82.4,A,08188590,72.4,A,76.0,A,74.9,A,64.5,A,70.6,A,78.1,A,68.8,A,73.7,A
2016-06-01 00:00:00+00:00,82.1,A,08188590,73.8,A,76.4,A,73.7,A,64.5,A,70.3,A,78.2,A,68.6,A,73.6,A
2016-06-02 00:00:00+00:00,82.1,A,08188590,72.2,A,75.7,A,45.4,A,43.2,A,46.2,A,63.6,A,58.2,A,61.1,A
2016-06-03 00:00:00+00:00,51.6,A,08188590,51.0,A,50.5,A,44.3,A,44.4,A,45.7,A,47.7,A,47.7,A,47.8,A
